Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2016,"9         ",Male,13,Right-Handed,80,8,30,1,Car,10,.365,50,"Football (American)",900,200,800,1000,300,400,8,"Same length",23,25,"Ring finger",May,Fall,No,No,Meat,Milk,Science,8,5,5,"Yes - dial-up connection","Text messaging",15,195,9,0,2,5,6,1,7,4,2,2,1,4,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,IL,2016,"9         ",Female,14,Right-Handed,"160 ","20 ",159.5,2,"Rail (Train/Tram/Subway)",60,.75,60,Running/Jogging,900,900,200,600,900,700,21,"Left foot",60,65,"Ring finger",June,Spring,Yes,No,Fruit,"Sports drink",English,8,9.5,5,"Yes - broadband connection","Text messaging",20,100,25,1,20,5,20,1,13,30,30,20,8,10,"A lot","Graduate degree",Techno/Electronic,Invisibility,Famous,"Doctor or nurse",Health
USA,IL,2014,"12        ",Female,17,Right-Handed,,,,,Car,10,0.381,44,Dancing,10,10,10,10,1000,1000,,"Same length",,,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,Other,7,5,4,"Yes - broadband connection","Text messaging",30,40,50,3,2,50,0,0,50,,168,1,0,7,Some,Other,"Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,IL,2016,"9         ",Male,14,Left-Handed,157,25,154,1,"Rail (Train/Tram/Subway)",45,.241,37,"Hockey (Ice)",540,807,1000,1000,326,526,25,"Same length",80,80,"Index finger",July,Summer,No,No,"No favorite","Soft drink (caffeinated)","Physical education",6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",7,7,3,0,7,10,0,4,6,6,8,3,0,4,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Business person",Health
USA,IL,2019,"10        ",Male,15,Right-Handed,176.7,33,69,2,Bus,30,0.25,35,Soccer,348,1000,690,535,1000,1000,33,"Same length",80,90,"Ring finger",August,Winter,No,No,Meat,Water,"Mathematics and statistics",6,7,5,"Yes - broadband connection","In person",40,50,2,0,0,5,1,10,5,2,2,0,0,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person",Other
USA,IL,2014,"12        ",Female,16,Right-Handed,,,,2,Car,10,.655,44,Soccer,500,500,600,600,800,700,25,"Left foot",80,70,"Index finger",August,Fall,No,No,Salads,"Sports drink","Mathematics and statistics",8,2,6,"Yes - broadband connection","Text messaging",120,122,6,3,8,1,6,0,10,98,10,7,15,3,Some,"Graduate degree",Country,Telepathy,Famous,Relative,Health
USA,IL,2019,"10        ",Female,15,Right-Handed,180,27,188,2,Walk,15,0.446,59,Basketball,900,800,700,600,400,300,27,"Same length",90,85,"Index finger",January,Fall,No,No,Pizza/Pasta,Water,Art,6-7,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",1,1,6,0,3,7,0,2,10,10,7,1,0,4,Some,"Graduate degree",Other,Fly,Happy,Relative,Health
USA,IL,2014,"11        ",Male,16,Right-Handed,168,28,76,1,Car,10,.304,55,Walking/Hiking,1000,1000,1000,1000,476,481,27,"Right foot",90,80,"Index finger",April,Summer,Yes,No,"No favorite",Milk,Science,2,12,6,"Yes - broadband connection","In person",0,0,30,1,48,24,12,5,5,1,32,34,20,7,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Health
USA,IL,2014,"12        ",Female,17,Right-Handed,158,26,157,1,Car,25,.308,53,Other,50,250,100,950,400,900,,"Same length",26,27,"Ring finger",April,Fall,No,No,Salads,Water,"Mathematics and statistics",7,8,4,"Yes - broadband connection","Text messaging",150,150,50,1,4,3,.5,1,4,10,2,1,28,2,"A lot","Graduate degree","Punk rock",Fly,Healthy,Relative,"Wildlife, animals"
USA,IL,2018,"12        ",Female,17,Right-Handed,175,24,175,1,Car,8,0.467,36,Other,790,890,430,670,990,1000,24,"Same length",71,78,"Ring finger",April,Fall,No,No,"Rice/Noodle dishes",Water,Science,8,10,2,"Yes - broadband connection","Text messaging",30,100,5,1,15,4,1,0,7,15,9,3,0,2,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Education/Youth development"
